urun_adi,urun_turu,son_fiyat,ortalama_artis_hizi,tahmin_2025
ACUR,SEBZE,34.70890410958904,81.88429347904065,46.32250342465753
ALABAŞ,SEBZE,14.306122448979592,98.13352819927505,19.09295102040816
ANANAS,İTHAL,55.36437908496732,52.92712694841224,73.88930032679738
ARMUT  ,MEYVE,13.418478260869565,97.50425215265228,17.90830108695652
ARMUT  DEVECI,MEYVE,33.95751633986928,80.99445045261736,45.31970130718954
ARMUT  S.MARIA,MEYVE,38.76143790849673,71.65508775770931,51.731015032679736
ARMUT AKÇA,MEYVE,39.904761904761905,62.45524061412042,53.25689523809524
AVAKADO,İTHAL,35.28431372549019,87.01907636704698,47.09044509803921
AYVA,MEYVE,34.86492890995261,118.45738142980565,46.53073412322276
BADEM-ÇAĞLA,MEYVE,110.49358974358974,172.29481944559137,147.46474487179486
BAKLA,SEBZE,29.59,73.0309387880889,39.490814  
BAMYA,SEBZE,93.76190476190476,72.57187274206126,125.13463809523809
BARBUNYA TAZE,SEBZE,63.32964601769911,84.70751254891809,84.51974557522124
BEZELYE,SEBZE,23.854477611940297,59.42417976735396,31.83618582089552
BIBER  DOLMA,SEBZE,19.495928338762216,59.554802665451675,26.019265960912055
BIBER  KIL ACI,SEBZE,25.933224755700326,58.70340033486926,34.610481758957654
BIBER  SIVRI,SEBZE,23.843648208469055,63.29255624344597,31.821732899022802
BIBER  TATLI(ÇARLİSTON),SEBZE,20.224755700325733,54.451022455974616,26.991958957654724
BIBER KIRMIZI,SEBZE,24.929967426710096,68.31527482836101,33.271534527687294
BIBER KIRMIZI II,SEBZE,6.5,-5.735003295978906,8.674900000000001
BIBER KÖY(MAZO),SEBZE,21.164495114006513,64.4604615704484,28.246135179153093
BORULCE,SEBZE,79.8409090909091,78.98705816911331,106.55567727272728
BROKOLI,SEBZE,34.001633986928105,87.78557924773742,45.37858071895425
BİBER  MEKSİKA,SEBZE,50.38392857142857,102.56494247018823,67.24239107142857
BİBER CİN,SEBZE,34.398809523809526,50.63656788505923,45.90865119047619
BİBER KALİFORNİYA,İTHAL,73.87254901960785,36.693736378198096,98.59030392156863
CENNET ELMASI,MEYVE,41.18143459915612,96.24680272930277,54.960742616033755
CILEK,MEYVE,97.40032679738562,115.04203408614325,129.99047614379086
DARI(ADET),MEYVE,8.06015037593985,84.26555515607805,10.757076691729324
DENIZ BÖRÜLCESİ,SEBZE,18.12091503267974,85.98350248141324,24.18417320261438
DOMATES  BEEF,SEBZE,27.58986928104575,45.7337162564468,36.82143954248366
DOMATES  SALKIM,SEBZE,29.186274509803923,64.69212436764558,38.952001960784315
DOMATES  SERA,SEBZE,18.77931596091205,78.1961884159975,25.062875081433223
DOMATES  TARLA,SEBZE,13.8006993006993,113.283534647171,18.418413286713285
DOMATES CHERRY,SEBZE,35.35947712418301,71.09108190541636,47.19075816993465
DOMATES PEMBE,SEBZE,35.3921568627451,60.486705665665,47.234372549019604
DOMATES SALKIM  (İYİ TARIM),SEBZE,38.09640522875817,80.59159237421434,50.84346241830066
DOMATES SALÇALIK(RİO),SEBZE,9.590909090909092,58.36975641958492,12.800027272727274
ELMA  ,MEYVE,9.431818181818182,36.02795987678698,12.587704545454546
ELMA  AMASYA,MEYVE,29.967105263157894,81.69932778607267,39.99409868421053
ELMA  ARJANTİN,MEYVE,24.726744186046513,56.21579629020874,33.00031279069768
ELMA  GALA,MEYVE,25.21323529411765,88.66194656746985,33.64958382352941
ELMA  GOLDEN,MEYVE,24.93300653594771,81.33531612044682,33.27559052287582
ELMA  STARKING,MEYVE,25.375816993464053,81.68507056439711,33.86656535947713
ELMA FUJİ,MEYVE,23.24871794871795,61.498670389793304,31.027738974358975
ELMA GSMIT(),İTHAL,32.61282051282051,54.64050106201799,43.52507025641026
ELMA GSMİT,MEYVE,28.598039215686274,67.24406838878683,38.166943137254904
ELMA STARKING(),İTHAL,36.09487179487179,66.92725794740113,48.1722158974359
ENGINAR,SEBZE,20.9,105.51144686539416,27.89314
ERIK ,MEYVE,15.0,53.49716446124763,20.019
ERIK  ANJELIKA,MEYVE,26.22933070866142,124.08194339204002,35.00566476377953
ERIK  CAN,MEYVE,51.47154471544715,8.00972756007605,68.69392357723576
ERIK  MURDUM,MEYVE,52.1360294117647,167.77778987454454,69.58074485294118
FASULYE   AYSE,SEBZE,60.08496732026144,87.37644752793807,80.18939738562092
FASULYE   CALI,SEBZE,53.12091503267974,79.62749065936072,70.89517320261439
FASULYE CİNO,SEBZE,47.287234042553195,125.09344865527788,63.109542553191496
GREYFURT,MEYVE,18.97875816993464,140.10379152119157,25.32905065359477
HAVUC,SEBZE,15.124592833876221,202.06738290416237,20.185281596091205
